CarDetect_140421295_01516.jpg,รถนั่งสองตอน,บรอนซ์เงิน,Ford,พื้นขาวอักษรดำ,ษย507,กรุงเทพมหานคร,,
CarDetect_132707572_00711.jpg,รถกระบะไม่มีหลังคา,ดำ,Toyota,พื้นขาวอักษรดำ,ผค6735,นครศรีธรรมราช,,
CarDetect_135607932_01334.jpg,รถเก๋ง,ขาว,Mazda,พื้นขาวอักษรดำ,กม4060,ภูเก็ต,,
CarDetect_141527567_01739.jpg,รถเก๋ง,ขาว,Nissan,พื้นขาวอักษรดำ,กล7752,ภูเก็ต,,
CarDetect_16160171_04169.jpg,รถเก๋ง,ขาว, Suzuki,พื้นขาวอักษรดำ,กท6246,กระบี่,,
CarDetect_135304567_01267.jpg,รถเก๋ง,แดง,Mazda,พื้นขาวอักษรดำ,5กอ618,กรุงเทพมหานคร,,
CarDetect_164709870_04794.jpg,รถกระบะไม่มีหลังคา,บรอนซ์เงิน,Isuzu,พื้นขาวอักษรเขียว,บบ1251,ภูเก็ต,,
CarDetect_140321703_01493.jpg,รถเก๋ง,ดำ,Honda,พื้นขาวอักษรดำ,กธ5964,ภูเก็ต,,
CarDetect_130712985_00310.jpg,รถตู้,บรอนซ์เงิน,Unknown,พื้นเหลืองอักษรดำ,301360,พังงา,,
CarDetect_170718721_05212.jpg,รถเก๋ง,ขาว,Toyota,พื้นขาวอักษรดำ,4กค8735,กรุงเทพมหานคร,,
CarDetect_131702542_00497.jpg,รถบรรทุก,ขาว,Hino,พื้นขาวอักษรดำ,810296,ภูเก็ต,,
CarDetect_125726704_00115.jpg,รถเก๋ง,ดำ,Toyota,พื้นขาวอักษรดำ,กร3262,ภูเก็ต,,
CarDetect_145148883_02474.jpg,รถกระบะมีหลังคาสูง,น้ำเงิน,Isuzu,พื้นขาวอักษรเขียว,บบ5768,ภูเก็ต,,
CarDetect_144737682_02388.jpg,รถเก๋ง,ดำ,Mazda,พื้นแดง,ก3048,ภูเก็ต,,
CarDetect_162051667_04260.jpg,รถบรรทุก,ขาว,Hino,พื้นเหลืองอักษรดำ,607108,กรุงเทพมหานคร,,
CarDetect_170935643_05253.jpg,รถเก๋ง,ขาว,Toyota,พื้นขาวอักษรดำ,กว2009,ภูเก็ต,,
CarDetect_143850216_02235.jpg,รถกระบะไม่มีหลังคา,ขาว,Toyota,พื้นขาวอักษรดำ,กอ6212,ภูเก็ต,,
CarDetect_155747952_03800.jpg,รถตู้,ขาว,Toyota,พื้นเหลืองอักษรดำ,305969,ภูเก็ต,,
CarDetect_125953106_00167.jpg,รถบรรทุก,ฟ้า,Isuzu,พื้นขาวอักษรดำ,800429,ภูเก็ต,,
CarDetect_150051500_02650.jpg,รถเก๋ง,บรอนซ์เงิน,Honda,พื้นขาวอักษรดำ,5กน2783,กรุงเทพมหานคร,,
CarDetect_161808692_04210.jpg,รถกระบะไม่มีหลังคา,ขาว,Toyota,พื้นขาวอักษรดำ,กง838,กรุงเทพมหานคร,,
CarDetect_1413296_01696.jpg,รถกระบะไม่มีหลังคา,ขาว,Mitsubishi,พื้นขาวอักษรเขียว,บฉ2970,พังงา,,
CarDetect_144337247_02312.jpg,รถเก๋ง,บรอนซ์เงิน,Toyota,พื้นเขียวอักษรสีขาว/ดำ,ณข3220,กรุงเทพมหานคร,,
CarDetect_170421634_05144.jpg,รถเก๋ง,ดำ,Mercedes-benz,พื้นขาวอักษรดำ,กว6424,ภูเก็ต,,
CarDetect_144939530_02428.jpg,รถเก๋ง,ขาว,Honda,พื้นขาวอักษรดำ,กอ6613,ภูเก็ต,,
CarDetect_13442343_01097.jpg,รถเก๋ง,บรอนซ์เงิน,Toyota,พื้นขาวอักษรดำ,กธ7104,ภูเก็ต,,
CarDetect_14250556_01956.jpg,รถกระบะไม่มีหลังคา,ดำ,Isuzu,พื้นขาวอักษรเขียว,บบ7225,ภูเก็ต,,
CarDetect_15162086_02982.jpg,รถเก๋ง,ขาว,Honda,พื้นขาวอักษรดำ,กษ4945,ภูเก็ต,,
CarDetect_170535671_05177.jpg,รถเก๋ง,ดำ,Toyota,พื้นขาวอักษรดำ,กร7540,ภูเก็ต,,
CarDetect_125709938_00109.jpg,รถกระบะไม่มีหลังคา,บรอนซ์เงิน,Unknown,พื้นขาวอักษรเขียว,บธ2810,ภูเก็ต,,
CarDetect_142357169_01933.jpg,รถเก๋ง,บรอนซ์เงิน,Toyota,พื้นขาวอักษรดำ,กร6892,ภูเก็ต,,
CarDetect_165532523_04970.jpg,รถกระบะไม่มีหลังคา,ขาว, Suzuki,พื้นขาวอักษรเขียว,บธ3561,ภูเก็ต,,
CarDetect_170300292_05118.jpg,รถกระบะไม่มีหลังคา,บรอนซ์ทอง,Isuzu,พื้นขาวอักษรเขียว,บษ9679,สงขลา,,
CarDetect_151546640_02967.jpg,รถเก๋ง,ฟ้า, Suzuki,พื้นขาวอักษรดำ,กท2765,กระบี่,,
CarDetect_163237111_04491.jpg,ไม่เอา,บรอนซ์ทอง,Toyota,พื้นเขียวอักษรสีขาว/ดำ,ฒข2418,ภูเก็ต,,
CarDetect_133213122_00826.jpg,รถเก๋ง,ดำ,Toyota,พื้นเขียวอักษรสีขาว/ดำ,ฌข4207,ภูเก็ต,,
CarDetect_154725748_03587.jpg,รถเก๋ง,ขาว,Honda,พื้นขาวอักษรดำ,กพ265,ภูเก็ต,,
CarDetect_141124972_01654.jpg,รถอื่นๆ,เขียว,Isuzu,พื้นขาวอักษรเขียว,ลจ8713,กรุงเทพมหานคร,,
CarDetect_132914320_00750.jpg,รถเก๋งแวน,ขาว,Mitsubishi,พื้นขาวอักษรดำ,ฆอ5010,กรุงเทพมหานคร,,
CarDetect_154049136_03466.jpg,รถตู้,บรอนซ์เงิน,Toyota,พื้นเหลืองอักษรดำ,309324,ภูเก็ต,,
CarDetect_151552894_02970.jpg,รถเก๋งแวน,ขาว,Toyota,พื้นขาวอักษรดำ,กม1513,ภูเก็ต,,
CarDetect_164030719_04643.jpg,รถเก๋ง,บรอนซ์เงิน,Mazda,พื้นขาวอักษรดำ,กพ6680,ภูเก็ต,,
CarDetect_170501278_05163.jpg,รถเก๋ง,ดำ,Honda,พื้นขาวอักษรดำ,กน2500,ภูเก็ต,,
CarDetect_155902375_03821.jpg,รถกระบะไม่มีหลังคา,ฟ้า,Isuzu,พื้นขาวอักษรเขียว,บต8854,ภูเก็ต,,
CarDetect_134722212_01152.jpg,รถเก๋งแวน,น้ำตาล,Isuzu,พื้นขาวอักษรดำ,4กฉ8813,กรุงเทพมหานคร,,
CarDetect_125522288_00068.jpg,รถตู้,บรอนซ์เงิน,Toyota,พื้นเหลืองอักษรดำ,308983,ภูเก็ต,,
CarDetect_174012314_05941.jpg,รถตู้,บรอนซ์เงิน,Toyota,พื้นเหลืองอักษรดำ,308131,ภูเก็ต,,
CarDetect_125945300_00166.jpg,ไม่เอา,ดำ,Toyota,พื้นขาวอักษรดำ,กย2209,ภูเก็ต,,
CarDetect_13222387_00604.jpg,รถเก๋งแวน,บรอนซ์เงิน,Toyota,พื้นแดง,ก5926,ภูเก็ต,,
